indicator_code,p95,p99,absolute_moderate_threshold,absolute_extreme_threshold,eligible_n,version
PRODUCTION_SCIMAGO,2.949889937106918,5.120226752175911,,,13696,0.8
PRODUCTION_INCITES,2.949889937106918,5.120226752175911,,,11882,0.8
SJR_TRAJECTORY,1.5448448365905276,2.0630365435089835,0.40599999999999997,0.6567999999999994,12597,0.8
